Actual,Predicted
2425.7,1849.0189
2401.7,1845.486
2389.1,1845.7997
2390.5,1878.498
2422.2,1898.4419
2432.1,1961.4827
2462.4,1968.3041
2466.7,2006.6449
2439.4,1955.0282
2453.1,1876.2805
2498.6,1908.801
2501.8,1952.5353
2511.3,1911.2385
2508.4,1925.9557
2478.9,1917.69
2508.4,1860.5349
2517.7,1961.3184
2516.0,1965.7637
2501.0,1948.6101
2525.7,1927.3577
2493.8,1976.409
2489.9,1896.561
2493.4,1925.9397
2511.4,1981.064
2493.5,2013.0529
2501.8,1975.4375
2512.3,2019.1294
2512.1,2023.9464
2551.2,2013.4226
2581.3,2069.221
2580.4,2083.0264
2564.3,2041.0228
2570.7,2005.8391
2588.0,2025.1786
2619.9,2048.7468
2626.5,2071.5493
2651.2,2058.1765
2659.2,2102.7822
2669.9,2072.2988
2644.3,2090.0867
2636.1,2050.8857
2667.3,2040.7445
2647.1,2100.8638
2657.1,2058.648
2645.8,2099.8325
2644.8,2078.6086
2615.0,2080.7563
2606.0,2019.2065
2620.6,2021.0239
2657.6,2052.0085
2647.8,2104.3127
2661.4,2047.758
2674.0,2068.1748
2691.0,2070.153
2713.7,2057.3132
2723.1,2101.8066
2744.2,2076.749
2714.4,2091.3738
2734.9,2023.0288
2740.9,2077.9048
2742.9,2077.3716
2768.4,2082.304
2788.5,2137.9304
2738.3,2155.8457
2738.6,2072.0186
2736.1,2082.8882
2740.3,2089.8372
2667.6,2101.3577
2698.4,1971.7842
2687.5,2078.089
2611.2,2025.1589
2600.0,1879.7579
2580.8,1890.5261
2568.2,1853.4423
2565.7,1830.9781
2610.6,1832.4703
2627.1,1931.2567
2648.2,1922.8651
2672.1,1915.9028
2709.9,1929.8906
2616.8,1955.2736
2620.3,1808.8844
2639.9,1870.1399
2657.0,1914.1902
2634.9,1934.0404
2644.7,1877.4735
2653.8,1900.983
2651.7,1905.0768
