,Predicted,Actual
103,1703.7312109372342,1740.5999755859375
104,1718.1510427725111,1730.0
105,1708.6984129543907,1723.300048828125
106,1725.2643134978957,1734.199951171875
107,1689.4004607045154,1704.5
108,1701.4947821304188,1702.4000244140625
109,1715.2132968761828,1709.199951171875
110,1710.2549219538746,1710.0
111,1708.2170361965186,1699.5
112,1714.3417480995886,1712.699951171875
113,1723.4977399960474,1727.0999755859375
114,1725.5801803196925,1719.0
115,1736.104151550117,1717.699951171875
116,1741.737730465121,1719.0999755859375
117,1770.3778056053832,1750.300048828125
118,1787.8839334978843,1762.9000244140625
119,1798.3712537999052,1769.0
120,1774.6077829024582,1771.0999755859375
121,1769.288123023462,1758.0
122,1773.5266553100278,1788.5
123,1752.8091009304899,1772.9000244140625
124,1781.2102833205429,1786.800048828125
125,1779.0995541817404,1794.0
126,1789.8658936384472,1795.5999755859375
127,1782.3605004425335,1789.699951171875
128,1792.6108418404615,1798.5999755859375
129,1786.373114046164,1781.4000244140625
130,1782.7068016893334,1773.199951171875
131,1765.5335611683433,1760.300048828125
132,1765.7199525066483,1755.300048828125
133,1749.9505836264625,1747.5999755859375
134,1750.2190283066811,1734.0
135,1753.7889629527335,1746.800048828125
136,1745.8270196289548,1747.800048828125
137,1757.6904581472388,1757.699951171875
138,1756.477917997789,1736.0999755859375
139,1752.4632612440626,1736.5999755859375
140,1726.928353619088,1723.199951171875
141,1712.5333528385636,1712.800048828125
142,1693.1761885367193,1696.5999755859375
143,1700.8768675219033,1709.800048828125
144,1682.6974749344674,1700.4000244140625
145,1688.427269726928,1715.300048828125
146,1690.2925215069424,1708.0
147,1703.4539320583913,1716.199951171875
148,1739.8178965902837,1728.0999755859375
149,1728.712602761074,1705.0
150,1743.1307800498819,1696.5
151,1716.6399763899153,1665.4000244140625
152,1709.6068705183488,1671.699951171875
153,1709.0067807903943,1666.199951171875
154,1692.1720065019633,1659.699951171875
155,1706.4454720742688,1664.5999755859375
156,1682.9668090979446,1670.800048828125
157,1657.4814553714211,1645.300048828125
158,1630.116026415189,1623.300048828125
159,1616.561822078362,1626.699951171875
160,1656.5447054265162,1660.4000244140625
161,1643.7953372440859,1658.5
162,1648.6685376357457,1662.4000244140625
163,1708.903523406634,1692.9000244140625
164,1734.1818553058802,1721.0999755859375
165,1702.829835869823,1711.4000244140625
166,1706.5854854239992,1711.699951171875
167,1696.3463970427783,1700.5
168,1679.0303383599087,1667.300048828125
169,1670.127209103512,1678.699951171875
170,1655.7572923775197,1670.300048828125
171,1654.846011794941,1670.0
172,1618.1621685603316,1641.699951171875
173,1632.5156787091414,1657.0
174,1624.2151393506185,1649.0
175,1604.1366343714012,1627.5
176,1599.0066788625468,1630.800048828125
177,1610.5177205685418,1651.0
178,1608.458638429474,1648.699951171875
179,1629.4663207677227,1652.800048828125
180,1640.1958801107019,1664.0
181,1661.242412718223,1660.699951171875
182,1645.1357465959697,1639.5999755859375
183,1642.2178157553096,1635.9000244140625
184,1652.9676242319083,1645.0
185,1657.2456620999785,1645.699951171875
186,1644.209647904794,1627.300048828125
187,1685.9740128179017,1672.5
188,1697.242451994302,1676.5
189,1708.205191677166,1712.0999755859375
190,1689.023125976985,1710.0999755859375
191,1742.5670812770534,1750.300048828125
192,1743.4179917322804,1766.0
193,1756.2060636552485,1773.5999755859375
194,1761.6463403289479,1773.800048828125
195,1773.4481511994284,1773.0
196,1743.8947714713963,1760.800048828125
197,1730.440010123045,1751.9000244140625
198,1734.5845788032254,1737.4000244140625
199,1744.8571867627847,1738.300048828125
200,1760.3249379353977,1744.9000244140625
201,1757.66224731473,1753.300048828125
202,1742.9566070803626,1740.0999755859375
203,1748.8771194152748,1748.4000244140625
204,1769.18133118172,1746.0
205,1820.9952339751535,1801.0999755859375
206,1830.3111435260614,1795.9000244140625
207,1793.6237077470755,1767.4000244140625
208,1810.2538335057027,1769.300048828125
209,1835.2471593242421,1785.5
