,Actual,Predicted
297,2002.199951171875,1781.1155032432418
298,1994.199951171875,1767.550277917178
299,2007.4000244140625,1772.6871744074176
300,1995.199951171875,1773.8198089646346
301,2007.5999755859373,1777.9391236230974
302,1979.5,1769.537484509296
303,1989.0999755859373,1779.759975876742
304,1994.0,1777.2016702109752
305,1985.699951171875,1775.0410911883373
306,1989.9000244140625,1772.2634090038932
307,1990.0999755859373,1777.1769445667735
308,1983.4000244140625,1771.9103332710902
309,2014.300048828125,1788.8474076544007
310,2028.5999755859373,1793.6999188812456
311,2048.0,1811.5152921142876
312,2017.4000244140625,1797.6574107568413
313,2026.300048828125,1788.4485691905948
314,2036.199951171875,1789.8347665527554
315,2030.5,1789.7183417343049
316,2014.699951171875,1764.593217461216
317,2014.5,1753.8681885953474
318,2018.0,1754.2205783978325
319,1988.4000244140625,1741.2241945772778
320,1980.699951171875,1740.2156863238872
321,1956.5,1728.9310686774731
322,1978.699951171875,1736.1084467041653
323,1974.800048828125,1730.428973925626
324,1972.4000244140625,1726.0784408327822
325,1962.800048828125,1715.644536066678
326,1943.0999755859373,1702.0505724506686
327,1944.0999755859373,1713.5284353019704
328,1958.0,1716.9786946226832
329,1963.9000244140625,1729.148590703273
330,1978.0,1740.5631096471561
331,1952.4000244140625,1730.3783883250499
332,1958.0,1726.3314769107321
333,1965.5,1727.1131070577896
334,1942.699951171875,1717.9617158680294
335,1963.5999755859373,1741.336518162707
336,1962.199951171875,1741.325288620991
337,1955.300048828125,1732.959706988574
338,1944.5999755859373,1723.1088546231845
339,1955.300048828125,1731.9332891253093
340,1957.800048828125,1734.4594119422627
341,1958.4000244140625,1734.6789795019079
342,1935.5,1716.564858371124
343,1933.300048828125,1706.7297300318285
344,1912.699951171875,1694.0215548576475
345,1919.0999755859373,1693.9629280718912
346,1923.699951171875,1706.2720476012182
347,1914.0,1707.1997482016338
348,1912.300048828125,1710.2940264599015
349,1909.199951171875,1695.0796658597471
350,1921.0999755859373,1702.4395013172953
351,1921.699951171875,1702.7766080358458
352,1919.5999755859373,1703.221636633439
353,1908.699951171875,1684.6924932078414
354,1926.199951171875,1694.8231529577038
355,1925.0,1699.9370162377108
356,1931.300048828125,1701.108198948343
357,1956.199951171875,1733.0610974598317
358,1959.199951171875,1756.3608430039617
359,1960.0999755859373,1757.5097257387436
360,1952.4000244140625,1756.5002810372118
361,1977.199951171875,1762.716291557035
362,1977.5,1768.985047569474
363,1968.300048828125,1751.407348363008
364,1964.300048828125,1749.388169001157
365,1960.300048828125,1742.9175824062775
366,1962.0999755859373,1743.9553528835615
367,1968.9000244140625,1751.2830493861163
368,1945.4000244140625,1727.6837363539235
369,1960.4000244140625,1733.1063187777145
370,1970.5,1745.443896635678
371,1940.699951171875,1724.5912101177591
372,1937.4000244140625,1713.8622011418126
373,1932.0,1703.2926601271301
374,1939.5999755859373,1712.2210775580995
375,1933.5,1701.0292790054048
376,1924.0999755859373,1694.5099083497553
377,1915.4000244140625,1692.7455865249242
378,1914.4000244140625,1691.3221715734444
379,1912.9000244140625,1683.1946472542074
380,1910.5999755859373,1681.0450909710628
381,1902.5,1677.4800484511306
382,1896.0999755859373,1672.5449750430585
383,1884.0999755859373,1673.423935830492
384,1886.0999755859373,1677.8004262262823
385,1893.300048828125,1685.861580736409
386,1896.4000244140625,1688.430568990199
387,1918.5,1719.4011916072805
388,1918.199951171875,1711.6097848017844
389,1911.0999755859373,1711.968184542842
390,1917.9000244140625,1714.8946094105086
391,1936.5,1734.7826635204947
392,1944.300048828125,1733.3327123776521
393,1938.199951171875,1728.7802987981217
394,1939.800048828125,1715.873569627613
395,1926.199951171875,1694.767241865018
396,1918.0999755859373,1684.1729738800313
397,1917.5,1680.3120845948984
398,1918.4000244140625,1678.9416788084463
399,1923.300048828125,1681.6045589848518
400,1911.300048828125,1683.0539392244004
401,1909.0999755859373,1678.8056323460482
402,1910.0,1673.0806495384697
403,1923.699951171875,1677.8697491358619
404,1931.5,1680.2500055140872
405,1932.0,1675.909607893854
